Predictor,m1_b,m1_p,m2_b,m2_p,m3_b,m3_p,m4_b,m4_p,m5_b,m5_p
GEIP_Coverage,1.151,0,1.002,0,0.448,0.004,0.385,0.006,0.452,0.002
GDPpc,,,0.003,0.081,0.002,0.25,0.002,0.076,,
LFP,,,,,0.008,0,,,0.002,0.654
First Law,,,,,,,0,0,0,0.067
R2,0.31,,0.36,,0.32,,0.37,,0.31,
