"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2020",633.24,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Average monthly earnings of employees by sex and disability status","LFS - Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2020",141.25,,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: Local currency","2021",130267.83,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: 2017 PPP $","2021",762.88,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","Currency: U.S. dollars","2021",258.59,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: Local currency","2021",116395.07,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: 2017 PPP $","2021",681.64,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","Currency: U.S. dollars","2021",231.05,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: Local currency","2021",130807.12,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: 2017 PPP $","2021",766.04,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","Currency: U.S. dollars","2021",259.66,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","Average monthly earnings of employees by sex and disability status","LFS - Household Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","Currency: Local currency","2021",153186.08,,"Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
